Subcellular location ID	Name	Category	Gene Ontologies	Is a	Description	Keyword	Synonyms	Links	References	Note	Content	Is part of	Statistics
SL-0002	Acidocalcisome	Cellular component	GO:0020022:acidocalcisome		The acidocalcisome is an electron-dense acidic organelle which contains a matrix of pyrophosphate and polyphosphates with bound calcium and other cations. Its limiting membrane possesses a number of pumps and exchangers for the uptake and release of these elements. The acidocalcisome does not belong to the endocytic pathway and may represent a branch of the secretory pathway in trypanosomatids and apicomplexan parasites. The acidocalcisome is possibly involved in polyphosphate and cation storage and in adaptation of these microoganisms to environmental stress.				PubMed=15738951,  DOI=10.1038/nrmicro1097		Acidocalcisome		reviewed:4; annotated:0
SL-0003	Acidocalcisome membrane	Cellular component	GO:0033102:acidocalcisome membrane	SL-0162; Membrane; LOCATION	The membrane of an acidocalcisome.		Acidocalcisomal membrane				Acidocalcisome membrane	SL-0002; Acidocalcisome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:4; annotated:0
SL-0004	Acrosome inner membrane	Cellular component	GO:0002079:inner acrosomal membrane		The portion of the acrosomal membrane closely associated with the anterior region of the nuclear envelope.		Acrosomal inner membrane, IAM, Inner acrosomal membrane				Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane	SL-0006; Acrosome membrane; LOCATION	reviewed:24; annotated:619
SL-0005	Acrosome lumen	Cellular component	GO:0043160:acrosomal lumen	SL-0347; Secretory vesicle lumen; LOCATION	The lumen of the acrosome.		Acrosomal lumen				Cytoplasmic vesicle, secretory vesicle, acrosome lumen	SL-0007; Acrosome; LOCATION	reviewed:15; annotated:0
SL-0006	Acrosome membrane	Cellular component	GO:0002080:acrosomal membrane	SL-0245; Secretory vesicle membrane; LOCATION	The membrane of the acrosome.		Acrosomal membrane				Cytoplasmic vesicle, secretory vesicle, acrosome membrane	SL-0007; Acrosome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:94; annotated:1309
SL-0007	Acrosome	Cellular component	GO:0001669:acrosomal vesicle	SL-0244; Secretory vesicle; LOCATION	The acrosome is a large lysosome-like vesicle overlying the sperm nucleus. This spermatid specific organelle, derived from the Golgi during spermatogenesis, contains both unique acrosomal enzymes and common enzymes associated with lysosomes in somatic cells. Only sperm that have undergone the acrosome reaction can fuse with egg plasma membrane. The acrosome reaction is characterized by multiple fusions of the outer acrosomal membrane with the sperm cell membrane.		Acrosomal vesicle				Cytoplasmic vesicle, secretory vesicle, acrosome		reviewed:351; annotated:7218
SL-0008	Actin patch	Cellular component	GO:0030479:actin cortical patch		The actin patch is a highly dynamic actin structure in fungi required primarily for endocytosis but possibly also coupled to exocytosis. Actin patches are highly motile, they first assemble at sites of polarized cell growth and then move slowly and nondirectionally along the cell cortex.		Actin cortical patch			The actin patch is a specialised structure which is specific to fungi so this term should be used only for fungal species.	Cytoplasm, cytoskeleton, actin patch	SL-0090; Cytoskeleton; LOCATION	reviewed:168; annotated:9291
SL-0009	Adherens junction	Cellular component	GO:0005912:adherens junction	SL-0038; Cell junction; LOCATION	The adherens junction is an adhesion complex that localizes close to the apical membrane in epithelial cells. These junctions join the actin cytoskeleton to the plasma membrane to form adhesive contacts between cells or between cells and extracellular matrix. AJs mediate both cell adhesion and signaling.		AJ, ZA, Zonula adherens			Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction, adherens junction		reviewed:346; annotated:28131
SL-0010	Aleurone grain	Cellular component	GO:0033095:aleurone grain	SL-0272; Vacuole; LOCATION	The aleurone grain (protein body), is a specialized dry vacuole where storage proteins accumulate in a stable form in seeds, usually in the endosperm. Cells containing aleurones form the aleurone layer. These act as a source of amino acids for various synthetic activities during germination, but also represent immensely important nutritional sources for humans and ruminants. In most seeds, the aleuron grains contain three morphologically distinct regions: the matrix, crystalloid, and globoid.		Protein body				Vacuole, aleurone grain		reviewed:52; annotated:246
SL-0011	Aleurone grain membrane	Cellular component	GO:0032578:aleurone grain membrane	SL-0271; Vacuole membrane; LOCATION	The membrane of an aleurone grain.		Protein body membrane				Vacuole, aleurone grain membrane	SL-0010; Aleurone grain; LOCATION	reviewed:9; annotated:0
